Comments,OrigFullComment,Type,Class,Year,Quarter,NewCleanComment,OriginalC,Topics,SubTopics,Sentiment
"specifically, how group work works.","Fairness. Specifically, how group work works. It feels nice that the students are allowed to work together in their assigned groups on the assignments that are presented throughout the course, but we must each turn in our assignment. However, if we say the same things, even accidentally, it's considered plagiarism and we get an F for the course. It feels really discouraging to be given the chance to work in a group but equally, run the risky chance of being penalized for it. As such, to avoid the risky chance, I decided to work alone during the assignments. To make it more fair, if the goal is to encourage group work, make assignments bound to that group, where one submission applies to everyone in that group and each student in that group would get the same grade for the assignment. This would encourage group work because everyone wants a good grade and will strive to achieve it, and it'll foster teamwork.",Improvement,M116L,2020,Fall,"fairness. specifically, how group work works. it feels nice that the students are allowed to work together in their assigned groups on the assignments that are presented throughout the course, but we must each turn in our assignment. however, if we say the same things, even accidentally, it's considered plagiarism and we get an f for the course. it feels really discouraging to be given the chance to work in a group but equally, run the risky chance of being penalized for it. as such, to avoid the risky chance, i decided to work alone during the assignments. to make it more fair, if the goal is to encourage group work, make assignments bound to that group, where one submission applies to everyone in that group and each student in that group would get the same grade for the assignment. this would encourage group work because everyone wants a good grade and will strive to achieve it, and it'll foster teamwork.","specifically, how group work works.",lab_time_work,group_work_like,neutral
"it feels nice that the students are allowed to work together in their assigned groups on the assignments that are presented throughout the course, but we must each turn in our assignment.","Fairness. Specifically, how group work works. It feels nice that the students are allowed to work together in their assigned groups on the assignments that are presented throughout the course, but we must each turn in our assignment. However, if we say the same things, even accidentally, it's considered plagiarism and we get an F for the course. It feels really discouraging to be given the chance to work in a group but equally, run the risky chance of being penalized for it. As such, to avoid the risky chance, I decided to work alone during the assignments. To make it more fair, if the goal is to encourage group work, make assignments bound to that group, where one submission applies to everyone in that group and each student in that group would get the same grade for the assignment. This would encourage group work because everyone wants a good grade and will strive to achieve it, and it'll foster teamwork.",Improvement,M116L,2020,Fall,"fairness. specifically, how group work works. it feels nice that the students are allowed to work together in their assigned groups on the assignments that are presented throughout the course, but we must each turn in our assignment. however, if we say the same things, even accidentally, it's considered plagiarism and we get an f for the course. it feels really discouraging to be given the chance to work in a group but equally, run the risky chance of being penalized for it. as such, to avoid the risky chance, i decided to work alone during the assignments. to make it more fair, if the goal is to encourage group work, make assignments bound to that group, where one submission applies to everyone in that group and each student in that group would get the same grade for the assignment. this would encourage group work because everyone wants a good grade and will strive to achieve it, and it'll foster teamwork.","it feels nice that the students are allowed to work together in their assigned groups on the assignments that are presented throughout the course, but we must each turn in our assignment.",lab_time_work,assignment_work_time,positive
"to make it more fair, if the goal is to encourage group work, make assignments bound to that group, where one submission applies to everyone in that group and each student in that group would get the same grade for the assignment.","Fairness. Specifically, how group work works. It feels nice that the students are allowed to work together in their assigned groups on the assignments that are presented throughout the course, but we must each turn in our assignment. However, if we say the same things, even accidentally, it's considered plagiarism and we get an F for the course. It feels really discouraging to be given the chance to work in a group but equally, run the risky chance of being penalized for it. As such, to avoid the risky chance, I decided to work alone during the assignments. To make it more fair, if the goal is to encourage group work, make assignments bound to that group, where one submission applies to everyone in that group and each student in that group would get the same grade for the assignment. This would encourage group work because everyone wants a good grade and will strive to achieve it, and it'll foster teamwork.",Improvement,M116L,2020,Fall,"fairness. specifically, how group work works. it feels nice that the students are allowed to work together in their assigned groups on the assignments that are presented throughout the course, but we must each turn in our assignment. however, if we say the same things, even accidentally, it's considered plagiarism and we get an f for the course. it feels really discouraging to be given the chance to work in a group but equally, run the risky chance of being penalized for it. as such, to avoid the risky chance, i decided to work alone during the assignments. to make it more fair, if the goal is to encourage group work, make assignments bound to that group, where one submission applies to everyone in that group and each student in that group would get the same grade for the assignment. this would encourage group work because everyone wants a good grade and will strive to achieve it, and it'll foster teamwork.","to make it more fair, if the goal is to encourage group work, make assignments bound to that group, where one submission applies to everyone in that group and each student in that group would get the same grade for the assignment.",lab_time_work,group_work_like,neutral
"and i usually work during midnight at home since everyone is asleep and i don't have to take care of my siblings, but he had assignments due at eleven:fifty nine pm.","I think my biggest issue was the workload for certain weeks. We would have assignments, midterms, and a reading due in the same week which made it difficult to juggle. And I usually work during midnight at home since everyone is asleep and I don't have to take care of my siblings, but he had assignments due at 11:59 pm. Instead, the assignments should be due before class on Monday. My group mates tend to work the day of but I never had enough time to change things on my assignment that day so I had to work on it at night. I work on my assignment before, but my first version is ALWAYS wrong. So I have to redo it. I get lower scores on average from my group mates because I mess up on certain things and don't have enough time to fix them.",Improvement,M116L,2020,Fall,"i think my biggest issue was the workload for certain weeks. we would have assignments, midterms, and a reading due in the same week which made it difficult to juggle. and i usually work during midnight at home since everyone is asleep and i don't have to take care of my siblings, but he had assignments due at eleven:fifty nine pm. instead, the assignments should be due before class on monday. my group mates tend to work the day of but i never had enough time to change things on my assignment that day so i had to work on it at night. i work on my assignment before, but my first version is always wrong. so i have to redo it. i get lower scores on average from my group mates because i mess up on certain things and don't have enough time to fix them.","and i usually work during midnight at home since everyone is asleep and i don't have to take care of my siblings, but he had assignments due at eleven:fifty nine pm.",lab_time_work,assignment_work_time,neutral
my group mates tend to work the day of but i never had enough time to change things on my assignment that day so i had to work on it at night.,"I think my biggest issue was the workload for certain weeks. We would have assignments, midterms, and a reading due in the same week which made it difficult to juggle. And I usually work during midnight at home since everyone is asleep and I don't have to take care of my siblings, but he had assignments due at 11:59 pm. Instead, the assignments should be due before class on Monday. My group mates tend to work the day of but I never had enough time to change things on my assignment that day so I had to work on it at night. I work on my assignment before, but my first version is ALWAYS wrong. So I have to redo it. I get lower scores on average from my group mates because I mess up on certain things and don't have enough time to fix them.",Improvement,M116L,2020,Fall,"i think my biggest issue was the workload for certain weeks. we would have assignments, midterms, and a reading due in the same week which made it difficult to juggle. and i usually work during midnight at home since everyone is asleep and i don't have to take care of my siblings, but he had assignments due at eleven:fifty nine pm. instead, the assignments should be due before class on monday. my group mates tend to work the day of but i never had enough time to change things on my assignment that day so i had to work on it at night. i work on my assignment before, but my first version is always wrong. so i have to redo it. i get lower scores on average from my group mates because i mess up on certain things and don't have enough time to fix them.",my group mates tend to work the day of but i never had enough time to change things on my assignment that day so i had to work on it at night.,lab_time_work,assignment_work_time,negative
"i work on my assignment before, but my first version is always wrong.","I think my biggest issue was the workload for certain weeks. We would have assignments, midterms, and a reading due in the same week which made it difficult to juggle. And I usually work during midnight at home since everyone is asleep and I don't have to take care of my siblings, but he had assignments due at 11:59 pm. Instead, the assignments should be due before class on Monday. My group mates tend to work the day of but I never had enough time to change things on my assignment that day so I had to work on it at night. I work on my assignment before, but my first version is ALWAYS wrong. So I have to redo it. I get lower scores on average from my group mates because I mess up on certain things and don't have enough time to fix them.",Improvement,M116L,2020,Fall,"i think my biggest issue was the workload for certain weeks. we would have assignments, midterms, and a reading due in the same week which made it difficult to juggle. and i usually work during midnight at home since everyone is asleep and i don't have to take care of my siblings, but he had assignments due at eleven:fifty nine pm. instead, the assignments should be due before class on monday. my group mates tend to work the day of but i never had enough time to change things on my assignment that day so i had to work on it at night. i work on my assignment before, but my first version is always wrong. so i have to redo it. i get lower scores on average from my group mates because i mess up on certain things and don't have enough time to fix them.","i work on my assignment before, but my first version is always wrong.",lab_time_work,assignment_work_time,negative
some of us work on stuff at midnight.,Main point: Have assignments due before class instead of before midnight. Some of us work on stuff at midnight.,Improvement,M116L,2020,Fall,main point: have assignments due before class instead of before midnight. some of us work on stuff at midnight.,some of us work on stuff at midnight.,lab_time_work,assignment_work_time,neutral
"another thing was that our study groups were made from the discussion section rather than our lab sections, which i believe made it a little hard to schedule meetings with our groups.","Perhaps because the professor was putting a lot of thought into how to approach this course with remote learning, the grading and assignments were a little vague. I would have appreciated a more clear schedule on quizzes, exams, and how the grades would be distributed. However, I believe he did his best and will continue to do better with more stable learning environments. Another thing was that our study groups were made from the discussion section rather than our lab sections, which I believe made it a little hard to schedule meetings with our groups. I believe he did this so that we could be flexible with our meeting times, but because of this, my group ended up only being able to meet for a few hours in the evening for two days per week.",Improvement,M116L,2020,Fall,"perhaps because the professor was putting a lot of thought into how to approach this course with remote learning, the grading and assignments were a little vague. i would have appreciated a more clear schedule on quizzes, exams, and how the grades would be distributed. however, i believe he did his best and will continue to do better with more stable learning environments. another thing was that our study groups were made from the discussion section rather than our lab sections, which i believe made it a little hard to schedule meetings with our groups. i believe he did this so that we could be flexible with our meeting times, but because of this, my group ended up only being able to meet for a few hours in the evening for two days per week.","another thing was that our study groups were made from the discussion section rather than our lab sections, which i believe made it a little hard to schedule meetings with our groups.",lab_time_work,group_work_like,negative
"i believe he did this so that we could be flexible with our meeting times, but because of this, my group ended up only being able to meet for a few hours in the evening for two days per week.","Perhaps because the professor was putting a lot of thought into how to approach this course with remote learning, the grading and assignments were a little vague. I would have appreciated a more clear schedule on quizzes, exams, and how the grades would be distributed. However, I believe he did his best and will continue to do better with more stable learning environments. Another thing was that our study groups were made from the discussion section rather than our lab sections, which I believe made it a little hard to schedule meetings with our groups. I believe he did this so that we could be flexible with our meeting times, but because of this, my group ended up only being able to meet for a few hours in the evening for two days per week.",Improvement,M116L,2020,Fall,"perhaps because the professor was putting a lot of thought into how to approach this course with remote learning, the grading and assignments were a little vague. i would have appreciated a more clear schedule on quizzes, exams, and how the grades would be distributed. however, i believe he did his best and will continue to do better with more stable learning environments. another thing was that our study groups were made from the discussion section rather than our lab sections, which i believe made it a little hard to schedule meetings with our groups. i believe he did this so that we could be flexible with our meeting times, but because of this, my group ended up only being able to meet for a few hours in the evening for two days per week.","i believe he did this so that we could be flexible with our meeting times, but because of this, my group ended up only being able to meet for a few hours in the evening for two days per week.",lab_time_work,time_lecture_spend,neutral
i felt that every assignment was given as the appropriate amount of time each week in order to complete except for the rna-seq part three/lab draft.,"I felt that every assignment was given as the appropriate amount of time each week in order to complete except for the RNA-Seq part 3/Lab Draft. I would have preferred to have that particular assignment/lecture the Monday before thanksgiving so that we would have the 2 weeks to complete it instead of it being assigned and gone over the Monday after thanksgiving. However, this comment is specific to the Fall quarter because of the holiday interfering with the flow of the class.",Improvement,M116L,2020,Fall,"i felt that every assignment was given as the appropriate amount of time each week in order to complete except for the rna-seq part three/lab draft. i would have preferred to have that particular assignment/lecture the monday before thanksgiving so that we would have the two weeks to complete it instead of it being assigned and gone over the monday after thanksgiving. however, this comment is specific to the fall quarter because of the holiday interfering with the flow of the class.",i felt that every assignment was given as the appropriate amount of time each week in order to complete except for the rna-seq part three/lab draft.,lab_time_work,assignment_work_time,neutral
i also sometimes believe that there is too many break out rooms during lecture.,I think he can be a little more thorough with his explanations after we have student discussions about a topic. I also sometimes believe that there is too many break out rooms during lecture.,Improvement,M116L,2020,Fall,i think he can be a little more thorough with his explanations after we have student discussions about a topic. i also sometimes believe that there is too many break out rooms during lecture.,i also sometimes believe that there is too many break out rooms during lecture.,lab_time_work,time_lecture_spend,negative
sometimes we spent too much time in breakout rooms or it just didn't seem necessary but i think that awkwardness was just due to the nature of zoom university,Sometimes we spent too much time in breakout rooms or it just didn't seem necessary but I think that awkwardness was just due to the nature of Zoom University,Improvement,M116L,2020,Fall,sometimes we spent too much time in breakout rooms or it just didn't seem necessary but i think that awkwardness was just due to the nature of zoom university,sometimes we spent too much time in breakout rooms or it just didn't seem necessary but i think that awkwardness was just due to the nature of zoom university,lab_time_work,time_lecture_spend,negative
make sure the assignments line up.,make sure the assignments line up. the documents looked as if they were not updated. Sometimes the TAs were inconsistent with each other and the course too.,Improvement,M116L,2020,Fall,make sure the assignments line up. the documents looked as if they were not updated. sometimes the tas were inconsistent with each other and the course too.,make sure the assignments line up.,lab_time_work,assignment_work_time,neutral
give extra credit work thats not really extra credit but is optional work that can boost or lower grade.,give extra credit work thats not really extra credit but is optional work that can boost or lower grade. can be used for missed assignments or for fun.,Improvement,M116L,2020,Fall,give extra credit work thats not really extra credit but is optional work that can boost or lower grade. can be used for missed assignments or for fun.,give extra credit work thats not really extra credit but is optional work that can boost or lower grade.,lab_time_work,work,neutral
can be used for missed assignments or for fun.,give extra credit work thats not really extra credit but is optional work that can boost or lower grade. can be used for missed assignments or for fun.,Improvement,M116L,2020,Fall,give extra credit work thats not really extra credit but is optional work that can boost or lower grade. can be used for missed assignments or for fun.,can be used for missed assignments or for fun.,lab_time_work,use_assignment,neutral
can add less group work.,Can add less group work. Hard to keep accountability.,Improvement,M116L,2020,Fall,can add less group work. hard to keep accountability.,can add less group work.,lab_time_work,group_work_like,neutral
this lab time could still effectively be used as work time with respective tas and reduce the scheduling and time burden on all parties in proposing a new time.,"Group assignments would be more productive time-wise, were assigned students are from the same lab section that we had signed up for when initially choosing classes. This lab time could still effectively be used as work time with respective TAs and reduce the scheduling and time burden on all parties in proposing a new time. As well, clarifying information on points that students might be anticipated to ask TAs and LAs would also improve the efficiency of the course and allow the many resources for students be more productive.",Other Comments,M116L,2020,Fall,"group assignments would be more productive time-wise, were assigned students are from the same lab section that we had signed up for when initially choosing classes. this lab time could still effectively be used as work time with respective tas and reduce the scheduling and time burden on all parties in proposing a new time. as well, clarifying information on points that students might be anticipated to ask tas and las would also improve the efficiency of the course and allow the many resources for students be more productive.",this lab time could still effectively be used as work time with respective tas and reduce the scheduling and time burden on all parties in proposing a new time.,lab_time_work,time_lecture_spend,neutral
